client_id,client_name,timezone,active_status,created_at
7df8690a-2363-4a15-8686-2cbeb982da79,King-Miller,Asia/Kolkata,1,2025-07-06 08:51:54
288112ec-fe6d-4614-ba60-c88b10a8cce2,Curry Inc,America/New_York,1,2026-01-11 12:57:52
0b3d3f1e-5980-4d29-839c-ba414978df59,Ramirez Group,Asia/Karachi,1,2026-01-21 09:58:44
57d21c6f-5ddb-4e55-9a54-89366d0183f4,Woods-Bender,Europe/London,1,2025-07-03 10:25:31
75905a97-dbd8-4178-bb81-a4c9c38fd0fa,Hooper PLC,Asia/Dubai,1,2025-08-07 16:34:36
c97541aa-bbae-47af-ab41-edbf474c799e,"Gould, Marshall and Scott",Asia/Kolkata,1,2026-02-17 11:49:11
5f581226-d8b5-4c46-ab41-7e7a0155e3e7,"Burke, Martinez and Riggs",Asia/Kolkata,1,2025-07-21 18:13:38
47535168-2cb4-4c2d-b35a-b987802a2df7,Molina-Castaneda,Asia/Karachi,1,2025-10-22 22:51:35
47887c49-3f2d-418a-9613-c7c880d13124,Gates PLC,Asia/Kolkata,1,2026-02-21 23:02:24
e93d1ca1-0862-4bd5-9c5e-c836334dfb50,Wells Inc,Europe/London,1,2026-03-27 18:59:01
3bcd8a6a-d798-472c-93fc-7208d5eb00e3,Meadows PLC,Asia/Karachi,1,2025-05-23 14:37:33
79284e64-48ab-49d9-9513-dae60b27da13,Garcia LLC,UTC,1,2025-06-13 15:59:25
5901d927-0540-4a16-ab75-b3cdc8e6a7bb,Short-Garcia,Asia/Karachi,1,2025-09-13 05:37:50
be527e58-5060-4b1a-a17d-a8e767bca837,Ramirez-Bean,UTC,1,2025-11-11 07:15:17
ff44b144-80e4-4b0f-a9b3-b5a4c468488a,Sanders-Espinoza,Europe/London,1,2026-03-18 20:48:17
cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,Jackson-Lawson,America/Los_Angeles,0,2025-12-09 23:55:04
ccca073b-2ff5-4529-8eda-70e6de1be41b,White-Green,UTC,1,2025-10-22 06:28:59
dbf44d74-90e3-405a-aba0-d36d5efb1afc,Johnson-Rogers,America/New_York,1,2025-08-16 08:38:13
49276bea-9dcf-4271-99d9-39880d66d25a,Rodriguez-Johnson,America/New_York,1,2025-09-23 23:11:26
11d14c72-b352-4292-967d-b6326d54744c,"Adams, Christian and Rivas",Asia/Kolkata,1,2025-07-21 06:03:35
