schedule_id,post_id,buffer_update_id,scheduled_time,schedule_status,created_at
84d99126-e1fa-4558-9e42-43288537f7b5,4f3eb56d-4ac5-4e7c-a1f4-6605681262f2,5a47025b-f2d3-4862-a400-aca15f19c84c,2026-06-17 16:48:19,sent,2026-04-29 13:14:06
765b513e-e6b1-49b7-a8b5-b12a63a2439d,7978c584-b86b-4e8c-9f63-d0d905dcef13,10c980e5-539c-44f2-8328-40e9d71aaa7a,2026-07-03 16:48:19,sent,2026-03-27 16:53:53
e293c209-b3c9-4639-a461-2c5c5515c14e,2710afcf-a7a5-4fc3-a7be-39d60c0f0b97,3cea1573-6c7e-4381-93ef-269b06ee4807,2026-07-17 16:48:19,sent,2026-03-08 20:04:10
d424d1bf-e471-4a04-b72d-5a71d38256a3,c412af8b-1ecf-43bf-be55-4e3a9cd0d184,7ecb8641-cab3-4079-9965-d10a10d355e9,2026-07-04 16:48:19,cancelled,2026-03-14 17:07:47
5d90a041-0adf-4d56-bac2-cc4e853701fc,702d8c8e-9ea4-4350-baca-d0b1a26d7765,a0421497-6412-447f-8dc3-137591604413,2026-05-29 16:48:19,cancelled,2026-04-08 18:49:49
b5cc3964-c429-43ac-86c9-50d5db9f16f0,5caf03c4-df8c-4b94-abad-0d1e1a8ebdda,4684f3af-b71e-416f-9f74-0d792a7a75be,2026-06-25 16:48:19,sent,2026-05-11 16:25:23
68735ded-aca2-41c3-bcc0-17597868360e,f74394ce-5c0d-418d-ad08-5800355f0f3e,,2026-07-21 16:48:19,sent,2026-04-04 02:43:54
49655425-1b95-4ff8-aa25-cdcc94b0afbc,90fdc664-03a0-4e49-b9f4-591896ebad6a,f311c692-c7a8-473b-ae2c-0c71b6ed93e6,2026-07-07 16:48:19,sent,2026-03-21 04:32:00
3f27343d-295d-4517-b244-3ee3c98fb685,df690acb-6ecf-485a-a9e8-b24bd924f770,97bbe006-4877-4842-b474-137e0cc74ceb,2026-06-24 16:48:19,sent,2026-03-05 06:47:41
e66e651b-566e-4975-b25b-1324f10d94a5,538fbe10-decd-4587-a186-a0a42ed5c345,09c79615-bd48-466a-bbae-7ae9a8a41ed7,2026-06-27 16:48:19,sent,2026-04-15 06:12:50
cc43f392-d742-4878-956c-8ce12adc206f,d9e773f2-14f9-4f57-8845-62ab3ca4c691,9556ced4-d273-4393-a5e7-1b5d80be7256,2026-07-22 16:48:19,sent,2026-04-16 02:01:53
dd845c1b-b7ce-4855-8d82-e22a9ca8adee,0ad6e740-1926-4f15-ae67-4e6abc55e0b8,5b25ea80-6d0e-4cda-a6cf-a64ed513ac38,2026-06-20 16:48:19,sent,2026-05-09 23:52:17
