log_id,user_id,action,entity_name,entity_id,created_at
53c22db4-434b-4440-8573-5d5d2474c58f,6487985a-ebd8-4020-b43b-fb0c49e29bd1,CREATE,content_drafts,8acbbdf4-d85f-48a8-ac0a-8e2037110e05,2026-02-07 23:45:32
b71d56a9-f223-43fa-83fa-e1218adb2cdf,fd957905-59c8-4cf7-97e1-2779cba7c497,LOGIN,users,0e93ee93-0c5e-47d0-8157-bea0672d063a,2026-03-29 15:02:53
b937827f-5cc5-42d8-8f93-5cd430df6f87,44c59837-bbaf-429a-b3c0-eae434bef011,LOGIN,users,b7cea433-a500-4c79-9fc1-69591e6d2d64,2026-04-22 09:38:07
93ea807a-1684-4ee6-a444-09c0c4712c1c,687378c7-ffc5-46de-8ce8-6bfea52e7cb1,LOGOUT,users,b9800baf-3d52-4744-987d-6520678aa676,2026-03-15 18:46:20
c4ba8804-1b0b-487f-aae9-c9416a74b147,803dc40b-3794-49f7-9a03-5535287ba70e,CREATE,content_drafts,b59e9368-3814-4d5d-b99d-e2551a198535,2025-12-27 02:06:29
33865fd7-ccfc-4c0a-818d-9e0bc78e3878,a4a4d4ec-a6c2-41d5-af99-685d6202c2e0,DELETE,content_drafts,24dda72c-8b9b-4edb-ac84-9cba7107983b,2025-12-14 05:12:25
f61ee49e-cd94-4b5a-8bcf-8e946781a538,8caa078e-4345-450f-bc9c-d78d65803aec,DELETE,content_drafts,1850538a-48cc-4a7c-97f0-c6f0f1f9731b,2026-03-06 01:49:49
9589fd79-2e8a-4198-a886-a9a538e3d46f,495888d6-7fff-44f4-a297-50e23921609f,LOGIN,users,5a02bd09-bb37-41a8-a8d6-17ac01c76446,2025-12-11 09:40:14
d752d241-9643-4bd1-9404-40cdd2613f25,02acf66a-1031-4d9e-811b-9a2d712d6f8d,SCHEDULE,scheduled_posts,9537f0b1-12b0-4a30-a1c3-bd7c413aea03,2026-04-07 11:49:07
eddab706-9bff-4c19-87c3-64a18303c39d,d7b13d37-760a-48aa-9193-5570604d6980,UPDATE,posts,711fd87c-99dc-4aef-856c-6d0b24377339,2026-01-04 17:08:17
