account_id,client_id,platform,account_name,connected_status,buffer_profile_id,connected_at
1d7fee54-97c5-4168-b4d0-e5f4023915ea,ccca073b-2ff5-4529-8eda-70e6de1be41b,linkedin,@matthew94,1,,2026-01-29 00:53:40
f5c731d0-3591-44d0-a6ad-86b3e7a53654,ccca073b-2ff5-4529-8eda-70e6de1be41b,tiktok,@blackjames,1,75f51204-7846-41e3-b546-c27d11e96b0d,2025-09-16 13:11:11
a4423ee9-ee4c-4da8-b71c-79443ebc7ff4,ccca073b-2ff5-4529-8eda-70e6de1be41b,instagram,@jenniferfreeman,1,abb68003-c342-462f-90f1-7e52919dd7fb,2025-09-02 03:24:16
8c3621eb-c160-4361-ba68-cdb57b8b0093,79284e64-48ab-49d9-9513-dae60b27da13,facebook,@hannahbrewer,1,c6b6ee74-ac09-4a3e-aac6-211952feb068,2026-01-12 05:36:34
96ada893-4469-4ec6-89a7-b8505ec8bbaf,0b3d3f1e-5980-4d29-839c-ba414978df59,instagram,@bwest,1,5c12f50d-523f-49a9-a0c1-43ae145e81fb,2026-05-11 07:34:38
37ccf3f6-e8ec-43a1-8117-998398ed4d24,dbf44d74-90e3-405a-aba0-d36d5efb1afc,linkedin,@phillipsrichard,1,44629847-907d-4034-a0e9-0906b947d4b3,2026-01-07 03:26:17
962fbce3-5e09-4ab6-8106-5651c7b3f00f,47887c49-3f2d-418a-9613-c7c880d13124,tiktok,@kevinperkins,0,1168ed86-c845-4b90-89b7-3323a3464090,2025-10-01 02:55:14
67d968d3-2314-4508-b0e5-db426eedeabe,dbf44d74-90e3-405a-aba0-d36d5efb1afc,youtube,@wtran,1,50cd9dd8-7995-4450-be09-c24f80ecabc3,2025-11-24 09:47:30
028b52ac-3e9e-4b58-927b-9e83979e96cc,79284e64-48ab-49d9-9513-dae60b27da13,twitter,@jbarajas,0,c2a9f428-69b7-4654-b48b-4422adc51ef7,2025-10-11 14:13:42
bcf7728c-1f98-44ae-83c1-f2bd1c6fa176,0b3d3f1e-5980-4d29-839c-ba414978df59,facebook,@michael74,1,4bc5b97f-0909-4f4b-bc22-703d92e2b18d,2026-01-18 08:20:54
5b6e1a71-cbff-4f88-a4e2-cc8607efe6c9,7df8690a-2363-4a15-8686-2cbeb982da79,instagram,@john13,1,,2025-08-20 05:54:41
3d67fb4f-55f7-44fd-a8e4-c8188bd8fcf5,288112ec-fe6d-4614-ba60-c88b10a8cce2,facebook,@david82,1,88e46bde-793a-4c44-b27c-2264894b235d,2026-02-10 16:53:26
6e4dd139-c421-467a-bddc-f7675ae889eb,5f581226-d8b5-4c46-ab41-7e7a0155e3e7,tiktok,@javierwashington,1,dd14b382-c1dd-4f21-80bb-cfc9ff66f807,2026-01-13 07:15:54
e460b412-0783-4e2d-98f8-bd85b7c1101c,cdfbf6c0-683c-4a2a-bdb5-0d2269efd5d4,linkedin,@tina34,1,ab9ff35b-932e-4216-8cbd-7732e5761e78,2025-09-24 22:03:29
544f3dbb-6473-446c-ac09-54ac2b8bfe8a,57d21c6f-5ddb-4e55-9a54-89366d0183f4,youtube,@michaelturner,1,b793f1b2-162a-49eb-bc2e-e8794c8da73c,2025-12-14 03:17:49
6bc83e75-8b0b-430a-b665-5f92c7932bfd,288112ec-fe6d-4614-ba60-c88b10a8cce2,youtube,@joshuamccann,1,f8abcb50-0304-4caa-849b-37fbd2044474,2025-08-18 06:40:10
b2693315-f68d-443d-8144-01a44c5b0b3d,3bcd8a6a-d798-472c-93fc-7208d5eb00e3,instagram,@heidi27,1,,2025-12-08 19:09:20
dca7ec29-626e-4ccd-8f8e-14fb465e0143,be527e58-5060-4b1a-a17d-a8e767bca837,linkedin,@salasaudrey,1,62c71e86-7089-40bb-9e2c-3368fc4fe7f5,2026-04-25 10:44:01
be02226a-dc84-47f1-a14d-07a289ca1004,ff44b144-80e4-4b0f-a9b3-b5a4c468488a,tiktok,@vmendoza,1,241c34a2-0616-4879-aaa0-4cafcf4c2781,2026-01-04 11:17:50
17a2a381-2e77-4c94-9a9f-b4b55e89a486,47535168-2cb4-4c2d-b35a-b987802a2df7,linkedin,@tammyking,1,ef52980d-fd00-4c88-96da-66024c39d2fc,2026-04-08 10:46:19
bfa0e391-41e0-445c-85fb-72f6e1ef14de,288112ec-fe6d-4614-ba60-c88b10a8cce2,linkedin,@ewilson,1,97a5e90d-f8d9-4da8-b830-8a25bfa39f2f,2025-10-16 14:37:06
3dd1299c-6f8e-494c-a121-e5274abd5e7f,ff44b144-80e4-4b0f-a9b3-b5a4c468488a,facebook,@kvasquez,1,ca4b12e5-a40f-4cd3-b5a3-496ae0e55c53,2026-05-16 08:56:49
ec3dfcb3-763d-4cee-872f-929f20c0886f,5f581226-d8b5-4c46-ab41-7e7a0155e3e7,facebook,@hernandezlisa,1,,2026-03-02 01:32:09
05fcb23c-a04a-4249-9621-fcd3ffaebad1,288112ec-fe6d-4614-ba60-c88b10a8cce2,tiktok,@christopher31,1,8f982a6c-280e-4b4f-9cd9-57936c7f5836,2026-01-01 17:26:35
1b265165-4ae1-4c53-b9b0-e6c92b309b70,0b3d3f1e-5980-4d29-839c-ba414978df59,linkedin,@yobrien,1,,2026-04-07 15:04:00
af521fcb-9f53-49ce-85e7-6d1d74a5af62,5901d927-0540-4a16-ab75-b3cdc8e6a7bb,instagram,@kimberlyjames,0,b475ffea-3460-4ecc-9c9b-b9dd3f1b3a55,2026-01-15 14:04:54
d4c391cd-f56a-40e4-a0ec-231de3f2dd2d,0b3d3f1e-5980-4d29-839c-ba414978df59,twitter,@levans,1,82386664-3d1a-4df3-82d2-44da8b746718,2025-10-31 10:44:21
2aa4a0c2-df74-4db6-bc16-13acb0c0c8f3,47887c49-3f2d-418a-9613-c7c880d13124,linkedin,@ntorres,1,eaa00009-3cd5-4150-ac39-657acb119280,2025-10-16 17:28:56
a9602b0b-c660-4301-a686-551bebb18deb,75905a97-dbd8-4178-bb81-a4c9c38fd0fa,youtube,@lynchjody,1,a017b6a6-5d5c-437f-bc90-6f62b739bd19,2026-04-27 02:46:22
6d7b25bf-1abf-42f2-86ef-7148267c7e4e,49276bea-9dcf-4271-99d9-39880d66d25a,instagram,@colleenbaker,1,10e3fe9c-3859-43af-a53e-ee9eadf3aa52,2025-10-16 14:36:00
c48224e6-c11f-43f5-bcf0-c04c2dc8c15c,79284e64-48ab-49d9-9513-dae60b27da13,instagram,@mooreglenn,0,6d759351-e313-4315-954a-aca63773ebe2,2025-09-15 10:43:23
84ab7da1-1178-4e4c-97c1-b0865e01fa1e,e93d1ca1-0862-4bd5-9c5e-c836334dfb50,tiktok,@moorericky,0,308a525e-fd56-48fc-8b34-cace89d0a257,2026-01-01 02:13:56
f2076ef9-f6b1-4414-826b-8ecd2968365d,dbf44d74-90e3-405a-aba0-d36d5efb1afc,facebook,@ocarter,0,,2026-04-12 08:34:08
1901f723-e444-42bb-8ff0-6dd9013fc1c6,47887c49-3f2d-418a-9613-c7c880d13124,instagram,@jasmine71,0,a20faea1-dcb6-473f-9cfe-a4755c4d611d,2025-09-14 18:43:21
f764004e-c522-4135-b7dc-98b976ff2922,5f581226-d8b5-4c46-ab41-7e7a0155e3e7,youtube,@sandrafrench,1,a5792076-0954-41fe-b84f-39a0f00b0773,2026-04-05 01:04:42
